videoresults post: 09/13/17 18:53:14 [hello]
imageresults post: 09/13/17 18:55:52 internet troll [error, error, error, error, error, error, error, error, error, error] flickr
imageresults post: 09/13/17 18:56:01 tree [error, error, error, error, error, error, error, error, error, error] flickr
imageresults post: 09/13/17 18:56:15 hello [error, error, error, error, error, error, error, error, error, error] getty
imageresults post: 09/13/17 18:56:20 test [try out, mental test, try, prove, test, trial, run, exam, examine, screen] getty
imageresults post: 09/13/17 18:56:30 tree [error, error, error, error, error, error, error, error, error, error] flickr
imageresults post: 09/13/17 18:56:34 world [man, domain, earth, worldwide, humankind, world, worldly concern, globe, cosmos, humans] flickr
imageresults post: 09/13/17 18:56:41 tree [error, error, error, error, error, error, error, error, error, error] flickr
imageresults post: 09/13/17 18:56:46 tree [error, error, error, error, error, error, error, error, error, error] getty
imageresults post: 09/13/17 18:56:55 sunshine [lightheaded, lighter, swooning, Light, brightness, unhorse, sparkle, wakeful, loose, Dominicus] flickr
imageresults post: 09/13/17 18:57:02 sunshine [spark, lightly, wakeful, light-headed, promiscuous, illuminate, clear, scant, illumine, get off] getty
imageresults post: 09/13/17 18:57:11 tree [error, error, error, error, error, error, error, error, error, error] getty
imageresults post: 09/13/17 18:57:14 life [lifespan, living, liveliness, life, life-time, aliveness, lifetime, biography, life history, life sentence] getty
imageresults post: 09/13/17 18:57:19 gold [error, error, error, error, error, error, error, error, error, error] getty
